id,metric_name,modelo_registry_id,warning_treshold,critical_treshold,direction,valid_from,valid_to,,,,
210,gini_b_malo14_26,bb_7,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
211,ks_b_malo14_26,bb_7,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
212,ordering_violations_b_malo14_26,bb_7,3,4,lower_worse,01/01/25,31/01/25,,,,
216,gini_MONTOU12MESES,bb_7,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
217,gini_MEANSEMVIDACARD,bb_7,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
218,gini_NUMPRESTAMOSPERS,bb_7,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
219,gini_INTERCEPTO,bb_7,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
220,gini_KO3SV,bb_7,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
221,gini_EDAD,bb_7,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
222,gini_AVGNUMCANALCAJERO6,bb_7,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
223,gini_MONTOVENTAPESOS,bb_7,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
224,gini_MINSEMULTCOMP,bb_7,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
225,gini_MTODEPINTERES12M,bb_7,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
226,gini_SLDFINMESN6,bb_7,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
227,gini_CPMEANTI813REZ,bb_7,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
228,gini_TPFCONSCDC12M,bb_7,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
229,gini_OOTCONSCDC3M,bb_7,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
230,gini_KO1ANT,bb_7,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
231,gini_CTASPAGOMINCERRADAS,bb_7,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
232,gini_PCTTOTVIDA13S,bb_7,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
233,psi,bb_8,0.2,0.25,lower_worse,01/01/25,31/01/25,,,,
234,null_rate,bb_8,0.03,0.1,lower_worse,01/01/25,31/01/25,,,,
238,gini_b_malo4_6,bb_8,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
239,ks_b_malo4_6,bb_8,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
240,ordering_violations_b_malo4_6,bb_8,3,4,lower_worse,01/01/25,31/01/25,,,,
241,gini_b_malo8_13,bb_8,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
242,ks_b_malo8_13,bb_8,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
243,ordering_violations_b_malo8_13,bb_8,3,4,lower_worse,01/01/25,31/01/25,,,,
244,gini_b_malo14_26,bb_8,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
245,ks_b_malo14_26,bb_8,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
246,ordering_violations_b_malo14_26,bb_8,3,4,lower_worse,01/01/25,31/01/25,,,,
250,gini_INTERCEPTO,bb_8,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
251,gini_PORCOOTCONSCDC3M,bb_8,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
252,gini_PORCFCONSTCDC12M,bb_8,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
253,gini_PORCOOTCONSCDC12M,bb_8,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
254,gini_MAXANTINSTALM,bb_8,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
255,gini_EDAD,bb_8,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
256,gini_PORCBAZCONSCDC12M,bb_8,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
257,gini_PORCFCONSTCDC3M,bb_8,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
258,gini_MONTOPAGO,bb_8,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
259,gini_PORCTCCONSCDC12M,bb_8,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
260,gini_MONTOU12MESES,bb_8,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
261,gini_PROMTXNDEPINTERES12M,bb_8,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
262,gini_SLDPROMMES,bb_8,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
263,gini_SLDFINMESN3,bb_8,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
264,psi,bb_9,0.2,0.25,lower_worse,01/01/25,31/01/25,,,,
265,null_rate,bb_9,0.03,0.1,lower_worse,01/01/25,31/01/25,,,,
269,gini_b_malo4_6,bb_9,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
270,ks_b_malo4_6,bb_9,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
271,ordering_violations_b_malo4_6,bb_9,3,4,lower_worse,01/01/25,31/01/25,,,,
272,gini_b_malo8_13,bb_9,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
273,ks_b_malo8_13,bb_9,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
274,ordering_violations_b_malo8_13,bb_9,3,4,lower_worse,01/01/25,31/01/25,,,,
275,gini_b_malo14_26,bb_9,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
276,ks_b_malo14_26,bb_9,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
277,ordering_violations_b_malo14_26,bb_9,3,4,lower_worse,01/01/25,31/01/25,,,,
281,gini_EDOMEDIANCONTEOSREZ,bb_9,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
282,gini_CPCONTEOSREZ,bb_9,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
283,gini_SEXO,bb_9,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
284,gini_EDOMEANTI813REZ,bb_9,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
285,gini_TXNCOMPRA,bb_9,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
286,gini_CPMEANTI813REZ,bb_9,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
287,gini_EDAD,bb_9,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
288,gini_ANTCAP,bb_9,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
289,gini_INTERCEPTO,bb_9,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
290,gini_MONTOEEUUU12MESES,bb_9,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
291,psi,bb_10,0.2,0.25,lower_worse,01/01/25,31/01/25,,,,
292,null_rate,bb_10,0.03,0.1,lower_worse,01/01/25,31/01/25,,,,
296,gini_b_malo4_6,bb_10,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
297,ks_b_malo4_6,bb_10,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
298,ordering_violations_b_malo4_6,bb_10,3,4,lower_worse,01/01/25,31/01/25,,,,
299,gini_b_malo8_13,bb_10,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
300,ks_b_malo8_13,bb_10,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
301,ordering_violations_b_malo8_13,bb_10,3,4,lower_worse,01/01/25,31/01/25,,,,
302,gini_b_malo14_26,bb_10,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
303,ks_b_malo14_26,bb_10,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
304,ordering_violations_b_malo14_26,bb_10,3,4,lower_worse,01/01/25,31/01/25,,,,
308,gini_MEANSEMVIDACARD,bb_10,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
309,gini_TPFCONSCDC6M,bb_10,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
310,gini_KO3SV,bb_10,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
311,gini_NUMPROMDIFSES,bb_10,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
312,gini_PROMTXNDEPINTERES12M,bb_10,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
313,gini_AVGMTOINTERNET,bb_10,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
314,gini_INTERCEPTO,bb_10,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
315,gini_EDAD,bb_10,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
316,gini_CTASPAGOMINCERRADAS,bb_10,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
317,gini_MINSEMULTCOMP,bb_10,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
318,gini_KO1ANT,bb_10,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
319,gini_CPMEANTI813REZ,bb_10,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
320,gini_MAXANTCARD,bb_10,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
321,gini_SLDPROMMENSUALN6,bb_10,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
322,gini_OOTCONSCDC12M,bb_10,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
323,gini_UTILIZACION,bb_10,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
324,gini_AVGSLDGUARDADITO6,bb_10,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
325,gini_ANTCAP,bb_10,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
326,psi,bb_11,0.2,0.25,lower_worse,01/01/25,31/01/25,,,,
327,null_rate,bb_11,0.03,0.1,lower_worse,01/01/25,31/01/25,,,,
331,gini_b_malo4_6,bb_11,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
332,ks_b_malo4_6,bb_11,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
333,ordering_violations_b_malo4_6,bb_11,3,4,lower_worse,01/01/25,31/01/25,,,,
334,gini_b_malo8_13,bb_11,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
335,ks_b_malo8_13,bb_11,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
336,ordering_violations_b_malo8_13,bb_11,3,4,lower_worse,01/01/25,31/01/25,,,,
337,gini_b_malo14_26,bb_11,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
338,ks_b_malo14_26,bb_11,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
339,ordering_violations_b_malo14_26,bb_11,3,4,lower_worse,01/01/25,31/01/25,,,,
343,gini_ANTCAP,bb_11,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
344,gini_SEXO,bb_11,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
345,gini_EDOMEDIANTI813REZ,bb_11,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
